,Date,Interview,Question
10,2022-02-05,"Primero recibes la llamada del equipo reclutador,  después tienes entrevista con la persona que sería el manager, y si pasas estos filtros, después un panel de varias personas (llamadas separadas).","Sobre cultura de la compañía, casos para resolver, preguntas sobre la hoja de vida. "
11,2022-02-05,I was impressed by the questions with the resonate the company culture with personal traits. Tried my best to answer the technical questions but didn’t pass the second round. Got the second chance (I was so prepared) but was canceled abruptly giving feedback “not knowledgeable enough” which sounds rude. Not a good experience overall.,Which culture/ value do you resonate most in Netflix?
12,2022-02-03,"I interviewed in 2018 and they changed their process since then. It  consisted of portfolio review, take home excercise, a presentation, and full day of interviews with engineers and product.","Whiteboard excercise: given this scenario, how would you approach it? "
13,2022-02-03,Got thrown out from 1st step interview which means I did not get through to technical interviews. They stated that this was a possibility and unfortunately this was what happened to me,Whats one thing you could improve
14,2022-02-01,Coding Assessment was pretty average. Technical interview was tough. Great company though however. Would have loved to be able to work. Great staff and employees. However wish the process was easier.,They asked me about myself.
15,2022-01-30,"Foi extremamente suficiente , não demorou muito , me ligaram um dia , três dias depois já entraram em contato novamente , e continuamos o processo , o processo em si é fácil , o processo consiste em , 4 entrevistas , o processo tem 2 provas práticas , o processo tem exames","Ótimo , muito atenção , valorosa , boa"
16,2022-01-26,Majority virtual screening process. It was a one way interview where you can video record your responses to the prompts and rerecord until you felt you answered sufficiently. Not much else to it.,They were interested in measuring the candidates level of passion for the industry.
17,2022-01-25,"“We want to provide deeper insights and data for our clients in a much more rapid fashion than what we see today."" Check out this in-depth interview in Piling Canada with Jas Saraw, VP Canada, on how data is changing our industry. Lots of great wisdom here!","“We want to provide deeper insights and data for our clients in a much more rapid fashion than what we see today."" Check out this in-depth interview in Piling Canada with Jas Saraw, VP Canada, on how data is changing our industry. Lots of great wisdom here! "
18,2022-01-25,"Spoke with HR for roughly 30-40 minutes.  Covered all the basic questions you'd expect around prior job experience, how my experience relates to this role.  Was also asked about salary expectations.  I got the impression that they were very interested in continuing me to the next phase as that was stated on the call.  Two weeks have passed and so I've gone ahead and assumed they aren't interested since neither my initial Thank You email (which had a question included) or my follow up email a week later have been acknowledged.  Will say for all those interviewing, apparently you should read their company culture page before your first interview.  I had not and you would have thought that was the most important question I was asked.  I admitted I had not but would be happy to do so in preparation for the next round call which she was discussing setting up (keep in mind no one mentioned or provided it prior to the call so it's like finding out there was homework no one told you about)",What do you think of the company culture statement?
19,2022-01-21,First interview with internal recruiter. Quite informal and pleasant. Second interview with department manager was set to inconvenient time due to LA timezone. I felt like a little school girl in front of a very demanding teacher. She was going very much into day to day job details.,How would you start a project?
20,2022-01-20,"Met recruiter who found me online.  Set up first interview which was in person with the hiring VP.  The rest of the 5 interviews were online.  After the last interview, there was nothing.  No thank you.  Nothing.",The questions are around their culture and you need to give examples of your experience in how you manage that cultural pillar.  Each interview has one of the pillars.  For example>direct and frank conversations and feedback.
21,2022-01-20,The interview process was very extensive with various rounds of interviews and panels. It took a while to hear back from the recruiters for next steps during the interview process.,What would you say would be a challenge for you in this role? 
22,2022-01-19,I was given a case study related to Netflix Gift Cards and was asked to write SQL queries for the given questions. The interviewer expects you to have an optimized query.,My work experience and projects
23,2022-01-17,Questions were not too much difficult and more generic interview type questions. Very brief and short answer type responses over all.  The interview process was virtual and online rather than need to come in to the office at all.,Tell us about yourself and why you are looking at this position. 
24,2022-01-15,"There was a casual 1 hour (maybe can vary from position to position) talk w/ talent coordinator, and then moved on to the interview with team manager, which took shorter than the former one. There were no real face-to-face process.",What is your future career path in mind?
25,2022-01-09,The initial phone interview was very straight forward. Recruiter briefly explained role well and gave room to ask questions. It was not very technical mostly to screen candidate's energy and check resume.,Tell me about yourself please
26,2022-01-08,"Netflix recruiter reached out to me from an animation festival, we talked through my portfolio, and he suggested a few things to add/change. Then encourage me to reach out again after.","What's your favorite project that you've done and why?
"
27,2022-01-07,"Netflix proactively reached out to me. I spoke with the recruiter, hiring manager, and another content designer. The recruiter said the team knew my current work and that they were excited about the prospect of bringing me on. I completed a take-home writing exercise, then two days later. the recruiter emailed me something along the lines of ""You're not what the team is looking for"" with no other feedback on the homework.",Why are you looking to make a move at this time?
28,2022-01-05,"How does the salary as a Technology Development Program at Accenture compare with the base salary range for this job? The average salary for a Technology Development Program is $81,249 per year in United States, which is 3% lower than the average Accenture salary of $84,224 per year for this job.",what is the salary of Netflix jobs?
29,2022-01-03,"This was the best care and attention I’ve had in the entertainment industry. They gave me speedy replies, and ample time to prepare. Professional emails, and friendly attention. The assistants and executives were wonderful as well.",Tell me about yourself. Do you have experience writing ____?
30,2022-01-03,"I was contacted at first by the in house HR Recruiter and then interviewed via Zoom by the ""hiring manager"".  This interview went really well, the hiring manager said ""we're going to definitely advance you in the process, you seem like a good fit and you will hear back from us"".  While this was said convincingly, I still had to follow up twice before hearing back 2 weeks later.  Then, out of no where, I was scheduled for an interview with 6 members of the team for 3 back to back to back 2 person interviews that took place over several hours on a weekday.  I did research on all of my interviewers before speaking with them, it was a mix of some people very new to my particular form of engineering and some that were more experienced then myself.    While the job description and interview with the hiring and recruiting managers implied this would be a design based position (at least 50-75% of the time) all of the other people I spoke with presented it as a support position 90% of the time).  I'm making up percentages here, but you get what I mean.  I am more than capable of doing support in my field, but this is not what I prepped for.  All that being said, I felt like the process went well for me.  I didn't have any major snafus, I gave my experience in detail and admitted what I had not done and detailed what I had very honestly.  I was left with the impression that after 7 conversations that day and 2 prior that I was likely to land the position.  This was not reality.  After I was told by the last interviewee (the most tenured at Netflix of all I spoke with) that I'd hear back in a day or two, I heard nothing.  Over a full week later, I checked in and a day or two after that I was told I did not get the position.  9 days after completing a run of 9 conversations over the course of a month.  After that level of time dedication and conversation, a company shouldn't ghost someone for 9 days.  I should say, I have over 25 years in the workforce, I have interviewed and applied for far more positions then I can remember, so I never fully ""got my hopes up"" in spite of every signal that I should.  I was even LinkedIn by one of the Netflix folks that were part of the process.   But what if I wasn't so experienced?  To be lead along in this way really shows some flaws in the company and the way people are treated that leave me relieved I didn't get the job.  I should also say that 3 of the 6 of what would have been my peers didn't have more then a year of experience each.  1 was about equal to my experience, 1 had far more years in a different form of engineering then mine and 1 was very well certified and experienced (more then myself on paper at least).  That being said, I was told this was a ""team"" decision.    I read fully through Netflix' culture memo, it's mantra during the interview process, so if you want a job there I suggest you do the same.  Many questions come up directly about it or that are related to you existing within it in some abstract way.  In that memo it talks a lot about a circular process where one person doesn't independently make decisions.  I think this is fine on paper for some decisions made by hired employees,, but in hiring meetings probably worked against me.   I walk away feeling that if I had at least been given the opportunity to meet with the hiring manager for another round to address the notes of the staff I could have made a better impression.  Instead I was analyzed by some staffers that really didn't have the work experience to make these kinds of decisions and almost all of them were located on the other side of the country.   The actual staff on my coast only accounted for 2 of the 8 people I spoke with.  I still believe in Netflix as a fan of the work they do and still generally believe in the culture memo they are very upfront about promoting.  I feel I would have been a good fit there theoretically.  But in retrospect, there were red flags.  Not getting call backs and having to remind them every time for one.  Almost every call or meeting with anyone at the company started late (either they are over worked or rude).  There was also, from many, a reluctance to tell me much about their experience at the company and how they felt about it.  It seems a bit insular there, the preaching of individuality sounded great from the outside in the memo, but in the small taste I had interviewing on the ""inside"" I'm not sure how it plays out in real life.  To that point, another red flag is aside from 2 of the people I spoke to, no one had been with the company more then 3 years and at least 3 had been there less then 1 year themselves.    Just my two cents, I'm not stressing it because I know that if a company doesn't immediately want you, it's not worth it because it wouldn't be the right fit anyway.  Good luck to all at Netflix and that spoke with me.",Q - What would you do if you disagreed vehemently with a decision being made within your department?
31,2022-01-02,it was slight to be honest. 3 leetcode hards but nothing for a young g like me. i solved each in record time and even asked to go ahead and do the behavorial interview in the remaining time,"how to be a real one
minimum window substring"
32,2021-12-24,The recruiter doesn't even know how to ask the right questions. She asked questions insinuating that she did not believe I could get the role due to the work experience on my CV,"Can you tell me how you will use an African perspective on the UX and UI designs at Netflix
"
33,2021-12-24,"Initial screening call with recruiter, then set up interviews with over 5 people across the business, including the line manager and the same recruiter who did the initial screening call. (Unclear why the recruiter couldn't just build their questions into the screening call).  It's quite a long and involved process but good to meet various people to see what they think/typical employees are like.  As so many interviews are scheduled across a few days sometimes, it would be good to know at the beginning of each day if you're still in the running. Otherwise it would definitely be a waste of everyone's time.","A LOT about the culture memo, including your thoughts on it.  Asked for examples on how you've demonstrated some of the values.Job role specific questions."
34,2021-12-20,"Recruiter phone call, team lead video chat, then tech screen video chat.  All friendly and professional conversations. Do emphasize what you're looking for, not what you're running from. (They headhunted me so I didn't have a vision prepared of what I hoped to find at Netflix.) Tech screen was a sort of stream-of-consciousness Q and A through my CV to probe for technical depth. Interviewer interrupted a lot, which is understandable to keep things moving toward the goals, but twice it seemed premature enough to me that I redirected back to what I was saying so I could finish my thought. As others here have said, coding interview portion can be take-home instead of on-the-spot, if you request it.",Have you worked with X? How would you solve Y problem?
35,2021-12-13,"Really intense, 5 hours long.  Very little break, seems they are trying to see how you do under long intense pressure.  Go in calm and ready for a long day.",They ask a lot of questions regarding their culture deck.
36,2021-12-10,"The interview process was straightforward and quick (to start). It consisted of 3 rounds (recruiter, hiring manager, and the panel of 6-9 people) but then took a long time for them to get back to me to tell me I didn't get it. The interviews focused on my background and experience, as well as Netflix company culture.","- How has your experience and background prepared you for this role?
- What experience do you have working in the entertainment industry? 
- Provide an example of how you solved a problem? 
-What did you think about the Netflix culture memo? How do you feel about receiving direct feedback? 
- What do you think the biggest challenge of this role will be for you?1 Answer"
37,2021-12-06,"Phone screen with the recruiter (30 minutes) went well, very pleasant but didn't disclose comp, only mentioned it was top of market. Did a virtual meeting with the two hiring managers (30 minutes) which I felt went well but they passed.",Share an instance when you were able to provide feedback to a higher up?
38,2021-12-06,Did a phone interview of about an hour. Standard questions about how I handled certain situations previously. Very unusual in 2021 that the role was strictly office based although can be done easily remote. Company didn’t want to compromise on that. Interviewer shared with me further details by email and asked for feedback and then never heard from them. Sent them a remider and still no response. Not a good experience.,What is not working well in your current job and how would you change that?
39,2021-12-01,"They reached out to me and asked to interview me. It was a lot different than many companies I've interviewed for. There's multiple interviews that are very time consuming. There's also tasks that they want you to complete to make sure that you are efficient. I made it to the final interview but not sure why they can't just let me know they are not interested in the very beginning than wasting my time. Don't interview unless you have an amazing background with lots of experience. They only hire the best of the best. You don't want to go through this dreadful, time consuming process just to get told that you didn't get it. To them you're just another interview, but to you it's a waste of 5 hours of your life.",Lots of situational questions in the second and third
40,2021-12-01,type of interview that aims to get to the root of how you’re performed and would perform in the future. And some other questions relevant to your behaviour  And some other specific questions in Netflix,Why do you want to work in Netflix?1 Answer
41,2021-12-01,The interview will start with self introduction and continue with some behavior questions relevant to your background. The second half of the interview will be some live SQL challenge and verbal technical questions.,How can you evaluate the performance of giftcard?
42,2021-11-22,mundane and annoying. they were slow and rude the entire time I was talking. I was unable to get past the first interview because no real questions were asked. They are not easy to interview for or to deal with. 1/10,what tree would you be1 Answer
43,2021-11-21,"interview went really well, was asked comprehensive questions by the main manager's staff. explained that his staff had previously answered my questions. got a bad report from my recruiter. maybe i should have repeated all my questions for a fourth time?","picture types and their uses, like png, ,psd, screengrabs, resolutions and their different applications for things like printed media or the web1 Answer"
44,2021-11-18,It was a very smooth interview. there were a few stages and after you passed the stages they gave you an offer and you choose on whether you  want to accept the offer or not.,Why do you want to work at netflix
45,2021-11-17,"I did not get far. The  Hiring Manager interview is where I stopped (1st interview after screening). It was medium . Word on the street is that every Netflix interview is different so what I encountered may not be what you encounter, but the general procedure is 3-5 interviews, starting with the HM, then a technical resource.   I didnt make it through because I failed to align my technical answers to the role's charter. Had I done this, I would have definitely succeeded. Good to note for other roles.","1. What's your background?

2. What' your experience with data management? Give work examples

3. What else do you want to tell me about yourself that you think makes you stands out? (basically what about you is not in your resume?)


Bonus question (when I wasn't answering the way the interviewer wanted) - 2. What's your experience in particular to research and survey data?

Case Question -
A tracking study is being conducted and your Data Scientist (DS) wants to analyze the data to understand the meaningful difference in data from country to country and over time. We are also interested in knowing the cultural impact of the movie. Here are some details about what the team wants to know :
-	We are analyzing people who watch the same movie title
-	We want to track how they connect with characters in the movie
-	We want to track movie enjoyment
-      How would you ask the DS to analyze this data?1 Answer"
46,2021-11-16,"The process included4 rounds of interviews, including a panel for the final round. First round with w/HR for fit with company culture. Next was with Hiring Manager. Then with prospective counterparts. Final round was with business partners, global division head, and HR. The majority of the questions pertained to fit with the department and company culture versus my resume and work history,",What Netflix core values resonate most with you and why?1 Answer
47,2021-11-15,"Applied online using the LinkedIn button. The recruiter was super cool. I was able to speak about my experience, and he said I sounded like a shoe-in for the position.  When I spoke to the hiring manager, he asked me a bunch of vague questions and didn't really seem to know what he wanted for the role. When I mentioned I applied for the interview and didn't get contacted by a recruiter, the interview turned for the worse. I could immediately tell he was done with me.  At the end of the interview, he said he wanted to be transparent and told me I failed the interview, and he would not be moving forward. he asked if he could tell me how I answered the questions incorrectly, and I declined.  This was interview number 6 in my current loop and was by far the worst, and I've been through real meat grinders. I think the vagueness and the immediacy of rejection really killed it. Yikes.",How would you get metrics to measure the performance of the whole team?1 AnswerHow would you configure a SIEM to filter out a large amount of events?1 AnswerDid you apply for this position? :( / What is your ideal role?1 AnswerWhat is currently wrong with SOCs right now and how would you improve them?1 AnswerWhat vulns currently exist with Netflix?1 Answer
48,2021-11-13,"The procedure was clear, I was kept well informed and had a contact person. The conversation was friendly. During the interview, I felt at ease. Afterwards, I received clear response and an offer.",Which to me was good customer service. 1 Answer
49,2021-11-13,"I was headhunted for this role, didn’t even apply for it but they reached out to me for a screening.  I work in HR and I am pretty sure they were headhunting for a diverse candidate, I know the game.  Anyways, the recruiter wasn’t very attentive during the call, she had a focal point for all of her questions which became very apparent quickly into the call.   She said that she would be meeting with the hiring manager and would let me know about next steps from there. 2 weeks went by, I emailed her and got no response. I sent another one and nothing.  I will never take another screening from this company. It’s very rude and unprofessional to take up peoples time and then not respond to their inquiries for an update.",Normal screening questions for an hr role
50,2021-11-12,"I complied bug lists for Netflix for many years, hoping to eventually get a chance to work there and 1) fix the darn bugs and 2) help them innovate their way out of the ultimate commodification of the extremely crowded streaming video market. 	Early in my career I spent 4 formative years at a company with a culture similar to that described in Netflix's culture document. This high individual responsibility culture is how I came to approach all my positions at every company I then worked for - and I was eagerly anticipating a kind of ""returning home"" glow and familiarity during the interview and, hopefully, day-to-day work at Netflix. 	However, it was a very strange interview: very confrontational. Was he just trying to provoke me and see how I would argue my case? I did argue my case each time but he refused to, or pretended to, not hear me and never acknowledged having heard or understood my points.  	Insisted my intention to help grow Netflix's market cap by 10X meant that I liked the size of corps that had room to grow 10X, as opposed to my desire, expressed several times, for my ideas and efforts impacting 10X growth to the bottom line (which I believe any one of us is capable of given opportunity and the will to do so - especially for such a rich technology-powered market like streaming video). 	Insisted EngProd was exclusive of toolkits, frameworks (and debuggers and IDEs) and that I had no business saying I was passionate about it even though I had worked on all four of those things in the past. 	He stated that any addition to the UI framework would have to be run by all 70 - 100 people who use the framework in order to get their buy in first. I did not mention that I personally thought this to be an onerous anti-pattern, but did say that I would probably find this to be the most challenging part of the position (I am very familiar with UI tech and nothing about what they are currently doing would have been a challenge - just fun as heck). Thereafter, he insisted over and over that, apparently because I said it was a challenge, I was incapable of doing it - instead of me just acknowledging that, as I said, this would be one of my primary focuses until the challenge was overcome. Even after I described how I recently worked on a product that had approximately 20 stakeholders from 3 different organizations and that I had successfully navigated this situation, he expressed his opinion that I would not be up to this task. 	I also mentioned that I had been a consultant for much of my career. He then insisted that I would leave the company earlier than average and, because I was a consultant, I had been able to write crap software and just leave to go to the next assignment - never having to maintain my own code. Despite my average time at a gig being longer than his average term of employment, and longer than most devs in the Bay Area, and that I had left several positions with code less than 1 bug per 10K lines of code - he, true to form, remain unconvinced. 	Like a troll, he insisted that he was right about everything and would not acknowledge any point I would make. 	Finally, I asked why they were still hacking React, trying to make it performant - why didn't they just write their own little toolkit to run on top of all the low-performance platforms they support. His answer was that ""the UI is not a core competency"", and they couldn't afford the engineering resources to support such an effort.  	Well, certainly explains a few things, that does. 	Didn't talk in all CAPS, but... this would be my manager?  	After processing all this - I now understand why Netflix's UI is the way it is (see any comment thread) and has so many bugs (current annoyance is that it pauses for 1/2 second about 1 minute before the end of every video segment as it loads the following segment. Oh, and now the left arrow of their horizontal-scrolling videosnaps disappears and the right arrow appears in the middle of the screen). 	Clue to Netflix: the UI is how you compete with the other dozen of so players in this increasingly crowded market. What happens when relying only on content, increasingly boring content, for differentiation has many historical precedents. As I click back and forth between Prime, Paramount+, HBOMax, Hulu, Disney+, and the rest - I have to wonder about the future of this FAANG.",Tell me about your background.
51,2021-11-11,"I interviewed for a Manager position at Netflix.  Average interview with someone who I can tell is new to the hiring manager role since the interview seemed non-prepared at all.  After being told, ""We'll be in touch"" there was no follow up, zero feedback and no response from the recruiter or the interviewer.  At least an automated email saying that they moved forward with different candidates would have been more decent.",What is your management style?
52,2021-11-07,"Durante o longo processo a palavra feedback apareceu muitas vezes. Como eu lidava? Como eu praticava? Como me sentia ao receber? Feedback é um fator importante na cultura da empresa. Foram quase 2 meses de processo, duas idas ao escritório e umas 10 entrevistas. Mas. após receber a resposta negativa, respondi o email, pedindo ao recruiter um feedback. Nunca recebi a resposta. Irônico,","Foram muitas, de diferentes pessoas com funções e níveis   hierárquico diverso1 Answer"
53,2021-11-04,"It was a tough process, but I felt supported from the beginning. They gave me the company culture handout so I was well versed in Netflix's company culture. I chatted with a lot of different people, in various positions. All in all, was about a 3 month process.",Where do you see yourself in 5 years?
54,2021-10-27,"Phone screen and on-site - coding and system design. Very fast interview process with quick TAT.  Focus on engineering and no soft skills  Lots of architecture detailed questions, and designing systems at scale","Real world questions, no leetcode "
55,2021-10-26,"The first interview was with the recruiter. Simple enough.  The next interview was with the hiring manager. She was great, straightforward and honest about the role and expectations. She definitely was passionate about the job.  She noted that she would be out for a bit and would circle back.  The next interview was with another person who upon entering the call noted ""that manager isnt around anymore"". Bizarre way to start a call.  From there it was a quiz on Netflix culture and questions regarding that. I was told to reference the slide deck, which was never provided to me. At this point the interviewer just cut the interview short and wished me luck.  Bizarre overall experience.","They asked about Netflix culture from the slides I was provided, problem was, I never was given slides. 1 Answer"
56,2021-10-25,"Smooth interview process. Initial phone screening followed by a video interview; then final in person interview at the office. Interview with superiors as well as  potential co-workers. Interview consists of soft and hard skills, past work history, as well as fit.",Tell me about a time when you did not agree with your manager.
57,2021-10-25,"Screening call. Interviewer sounded bored and not interested, like just going through the motion. Never asked any follow up questions to my responses. The only question that she  genuinely paid attention to was my current salary. She mentioned my working experience was too short. It was written in my CV, so why did you contact me?",What is your current salary?
58,2021-10-25,"There are multiple rounds of interviews with their recruiting team. I had a general, informational interview and then my information was kept on file for future openings. It was really a get-to-know-you style.",What type of content do you watch? What qualities do you value in the people you work with?
59,2021-10-22,"For me, it was a phone interview. It was very laid back and cordial. Not at all a  stressful experience. There were two department leads and an hr rep present.","mostly about my background in the industry, and what tools i was comfortable with. but mainly, it seemed like a fairly informal interview to get an idea of who i am and if id be nice to work with as a person"
60,2021-10-21,"War definitiv eine andere Art von Vorstellungsgespräch als die, die man vorher hatte. Hochprofessionelles Vorgehen. Das Gespräch war in der Tat sehr interessant und der Manager zeigte großes Interesse an mir als Kandidat.","Wie gehst du mit stressigen Situationen um, in denen du mehrere Projekte gleichzeitig hast?"
61,2021-10-17,"Such is the sad state of affairs of Netflix interviewing where they interview you for a week and suddenly ghost out. After working with 3 recruiters none of them feel accountable to respond with the next steps, outcome of the interview[s].  I haven't heard back from them till date and its been almost 4 weeks Time, efforts, accountability are the missing elements. Be careful before you fall a prey to such recruiters/hiring teams who don't value interested candidates.",Behavioral/skimming through the resume as they prepare the questions
62,2021-10-15,"Foi muito boa! Com muitas perguntas e oportunidades! Eu amei! Me apresentaram muitas oportunidades de emprego, eu nunca tive tanta oportunidade assim! Bastante educados e bem preparados! Gostei demais, vamos ver se consigo isso porque quero muito ajudar minha família",Qual o salário que eu queria 1 Answer
63,2021-10-15,"There were 2 initial interviews with the recruiter and the hiring manager, his was then followed up with a final panel stage interview. All of the interviews were virtual due to the pandemic",what you find hardest about the company culture
64,2021-10-14,"Took a couple months, very exciting and a huge range- from phone, video, to in-person interviews. made it to the last round of interviews on site and lost the opportunity to another more experienced person.",Many questions about culture fit!1 Answer
65,2021-10-12,Terrible and disrespectful. The recruiter contacted me directly and scheduled an interview and never showed up. Later I sent an email to her and she also never replied back. I have never been through such a disrespectful and hipocrotical hiring process. This is absolutely a Red flag about the company.,None. The recruiter scheduled The call and ghosted me. 
66,2021-10-09,I interviewed with the Netflix team in September - October 2021. The process took about a month. Overall  the experience was positive and the team gave honest feedback.  1st - Recruiter Screen 2nd - HM Screen 3rd - Take Home Challenge (5-10hrs) 4th - Virtual Onsite interviews (2 days back to back),"Approach to problem in testing
Leetcode question
Why Netflix?
Tell me a time you got negative feedback.
"
67,2021-10-08,"The job interview process serves a twofold purpose of helping an employer determine whether you're qualified for the job you're interviewing for and helping you to decide whether your values and goals align with those of the employer. This process can vary depending on the company and role, with some companies requiring several face-to-face interviews while others can make a decision after one meeting. In this article, we explain the steps of the interview process and tips for doing well in an interview.",Can you explain these gaps in your resume?1 Answer
68,2021-10-06,"Was contacted by a recruiter via email. The initial experience was cordial and clear, although a bit slow. After my first phone screen I advanced to the meeting with the hiring manager, who was kind and helpful, although it did have to be rescheduled last minute (5 minutes after the initial start time) due to issues on their end. After the hiring manager interview, I was ghosted by the recruiter and never heard back.",Tell me about your most recent experience.
69,2021-10-02,was great but hard because my english not good  but i hope if i can join with them i love to be actor i love acting anyway i acting when i walk in street but the people bulling me,"What has been your biggest challenge while you work?
1 Answer"
70,2021-10-01,"Cattle call interview in mid 00's, didn't get a second call back. This was right after the recession started so competition was insanely steep for entry level positions. Probably would have been a great career start looking back, but I don't know if 5 am commute would have worked out at the time.",Do you have a car?1 Answer
71,2021-09-29,I had an 30 mins phone interview with recruiter which led to a 45 mins video call with the hiring manager.  I then had a 3 hrs call (with a break in between) with 6 members of the team I would have been interacting closely with.  It was a pleasant process and I gained so much insight to the culture memo at Neflix.,What do you think is the major problem affecting the African film production industry?
72,2021-09-29,"There were lots of stages , firstly a phone call with the talent acquisition and then with someone who was in that role at one point, and then a very long back to back interview with all of the directors plus a talent acquisition person",What I think succeeding in that particular role would look like
73,2021-09-28,"It was a 1.5h interview with different people in the team, and everyone was very friendly. I was asked to chat about my background/experiences and they asked me some questions after. The time I had with each interviewer was a bit too short.",Why do you want to join Netflix?1 Answer
74,2021-09-27,I received codesignal challenge for ML Internship at Netflix for Summer’22. It says there are 4 MCQs and 2 programming questions all related to machine learning. The question should be about basic on machine learning and coding in python.,"I did not take it yet.  Does anyone have any idea how this works and what to expect in the test?

Any advice on how to prepare would be helpful."
75,2021-09-24,Imagine that you get into an elevator of a high-rise building and you are going up to the 50th floor. It stops on the 2nd floor and one person gets in. You quickly realize that this is the owner and hiring manager of the company you have always dreamed about working for. You have applied to work for this company but have not heard back. Now you have the hiring manager in front of you. You only have 60-90 seconds to tell this,Imagine that you get into an elevator of a high-rise building and you are going up to the 50th floor. It stops on the 2nd floor and one person gets in. You quickly realize that this is the owner and hiring manager of the company you have always dreamed about working for. You have applied to work for this company but have not heard back. Now you have the hiring manager in front of you. You only have 60-90 seconds to tell this
76,2021-09-23,lots of questions about workflow and how i'd handle hypothetical situations or change processes. also asked what i thought about the culture memo. interviewed with talent acquisition and hiring manager but didn't move forward.,what value would you bring to the team?
77,2021-09-20,"Had the opportunity to go through all 3 rounds of interview. First interview with recruiter was pleasant, he even offered to prepare me for the 2nd round of interview with the hiring manager. 2nd round of interview was concise. 3rd round of interview involves talking to 3 higher management upline with similar questions following 2nd interview. Overall pleasant interview despite not getting the position.",Questions on how individual look up to working in their company culture. Also had to list a few achievements and challenges from previous positions.
78,2021-09-16,"Foi bem acolhedor, desde a ligação até a preparação para uma entrevista individual. Apenas achei meio incoerente priorizar a fluência do idioma, visto que no Brasil apenas 3% da população fala inglês fluente. O cargo priorizava um perfil que não corresponde a essa expectativa.",Fluência do inglês para se comunicar com outros países
79,2021-09-16,"After the submission, a recruiter sent an email to ask about your availability for a phone interview. Once you pass this round, your application will hand over to the hiring manager(s), and they will decide if they want to have (real) interviews.","Tell me about yourself.
Describe more about your previous experience.
What do you think about our culture memo?
etc."
80,2021-09-15,It was a negative experience for me. I experienced two interview there. First one was online HR interview and second one was on-site technical interview. They didn't  send me an offer. I was overqualified for the position.,If the app doesn't  work how do you solve?
81,2021-09-14,"very poor the lady was late for our call did not have an excuse  would not recommend it to anyone else  unbelievably unprofessional and would never  imagine to have this","language test
previous experience 
random question "
82,2021-09-06,First talk (via phone) was general conversation about experience and interests.  Talent Acquisition was very friendly and open-minded. Call took about 20 minutes. After she realized that I prefer work as creative she proposed to convey my cv to another person.,What do you think about our culture memo? 
83,2021-09-03,"I submitted resume/CV through the career portal and heard from the hiring manager for the interview. The first interview was done by phone with the talent acquisition manager in Singapore. The second and third interview was done by video call with director of marketing and publicity mangers, respectively.",How do you think about Netflix's culture memo?
84,2021-09-01,"Had a phone interview with HR. Worked through resume. Asked if I would fit with Netflix culture. I wasn't sure what there culture is in real life, not in words. So it was hard.",How would you fit in Netflix culture
